Region,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Western Europe and North America,Italy,23.11,27.22,28.04,29.04,33.24,35.0,37.99,40.79,44.53,48.83,53.68,54.39,55.83,58.46,55.64,58.14,61.32,63.08,74.39,76.1,76.1
Latin America and the Caribbean,Jamaica,3.12,3.86,6.1,7.8,10.0,12.8,16.4,21.1,23.6,24.3,27.67,37.44,33.79,37.1,40.4,42.22,44.37,55.07,68.21,68.21,68.21
Asia and the Pacific,Japan,29.99,38.53,46.59,48.44,62.39,66.92,68.69,74.3,75.4,78.0,78.21,79.05,79.5,88.22,89.11,91.06,93.18,91.73,91.28,92.73,92.73
Asia and the Pacific,Kazakhstan,0.67,1.01,1.67,2.0,2.65,2.96,3.27,4.02,11.0,18.2,31.6,50.6,61.91,63.3,66.0,70.83,74.59,76.43,78.9,81.88,85.94
Africa,Kenya,0.32,0.62,1.21,2.94,3.02,3.1,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13.0,16.5,16.59,16.6,17.83,19.5,22.57,22.57
Asia and the Pacific,Korea (Rep. of),44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81.0,81.6,83.7,83.76,84.07,84.77,87.56,89.9,92.84,95.07,96.02,96.16,96.51
Arab Region,Kuwait,6.73,8.55,10.25,22.4,22.93,25.93,28.79,34.8,42.0,50.8,61.4,65.77,70.45,75.46,78.7,78.0,78.37,98.0,99.6,99.54,98.6
Central and Eastern Europe,Latvia,6.32,7.22,21.94,26.98,38.58,46.0,53.63,59.17,63.41,66.84,68.42,69.75,73.12,75.23,75.83,79.2,79.84,80.11,83.58,86.14,88.9
Africa,Lesotho,0.21,0.26,1.08,1.53,2.18,2.58,2.98,3.45,3.58,3.72,3.86,7.0,10.0,15.0,22.0,25.0,32.45,39.0,40.8,42.3,42.3
Central and Eastern Europe,Lithuania,6.43,7.18,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,62.12,63.64,67.23,68.45,72.13,71.38,74.38,77.62,79.72,81.58,83.06
Western Europe and North America,Luxembourg,22.89,36.16,39.84,54.55,65.88,70.0,72.51,78.92,82.23,87.31,90.62,90.03,91.95,93.78,94.67,96.38,98.14,97.36,97.06,97.12,98.82
,"Macao, China",13.61,22.52,25.17,25.74,31.48,34.86,46.4,47.33,49.24,54.0,55.2,60.2,61.31,65.8,69.78,77.6,81.64,83.17,83.79,86.47,86.47
Africa,Malawi,0.13,0.16,0.22,0.28,0.35,0.38,0.43,0.97,0.7,1.07,2.26,3.33,4.35,5.05,5.83,7.6,8.0,13.78,13.9,15.5,15.5
Asia and the Pacific,Malaysia,21.38,26.7,32.34,34.97,42.25,48.63,51.64,55.7,55.8,55.9,56.3,61.0,65.8,57.06,63.67,71.06,78.79,80.14,81.2,84.19,89.56
Africa,Mali,0.14,0.19,0.23,0.31,0.43,0.51,0.73,0.81,1.57,1.8,2.0,2.2,2.8,3.5,7.0,10.33,11.11,15.6,23.0,26.0,26.0
Western Europe and North America,Malta,13.11,17.88,28.92,31.64,34.62,41.24,40.41,46.9,50.08,58.86,63.0,68.02,68.2,68.91,73.17,75.96,78.08,81.01,81.66,85.78,86.86
Africa,Mauritius,7.28,8.78,10.25,12.19,13.69,15.17,16.7,20.22,21.81,22.51,28.33,34.95,35.42,40.12,44.8,50.14,52.19,55.4,58.6,61.73,64.88
